2014-02-16 AAMI Park, Melbourne, Australia - /gig:2014-02-16-aami-park-melbourne-australia
2014-02-01 FNB Stadium, Johannesburg, South Africa - /gig:2014-02-01-fnb-stadium-johannesburg-south-africa
2014-01-28 Bellville Velodrome, Cape Town, South Africa - /gig:2014-01-28-bellville-velodrome-cape-town-south-africa
2014-01-26 Bellville Velodrome, Cape Town, South Africa - /gig:2014-01-26-bellville-velodrome-cape-town-south-africa
2014-01-14 Rockefeller Center, GE Building, Studio 6A, New York City, NY - /gig:2014-01-14-rockefeller-center-new-york-city-ny
2013-11-06 Theater At Madison Square Garden (The), New York City, NY - /gig:2013-11-06-theater-at-msg-new-york-city-ny
2013-09-21 Cidade Do Rock, Rio De Janeiro, Brazil - /gig:2013-09-21-cidade-do-rock-rio-de-janeiro-brazil
2013-09-18 Espaço Das Américas, São Paulo, Brazil - /gig:2013-09-18-espaco-das-americas-sao-paulo-brazil
2013-09-14 Estadio G.E.B.A., Buenos Aires, Argentina - /gig:2013-09-14-estadio-g-e-b-a-buenos-aires-argentina
2013-09-12 Movistar Arena, Santiago, Chile - /gig:2013-09-12-movistar-arena-santiago-chile
2013-07-28 Nowlan Park, Kilkenny, Ireland - /gig:2013-07-28-nowlan-park-kilkenny-ireland
2013-07-27 Nowlan Park, Kilkenny, Ireland - /gig:2013-07-27-nowlan-park-kilkenny-ireland
2013-07-24 First Direct Arena, Leeds, England - /gig:2013-07-24-first-direct-arena-leeds-england
2013-07-23 Millennium Stadium, Cardiff, Wales - /gig:2013-07-23-millennium-stadium-cardiff-wales
2013-07-20 King's Hall, Belfast, Northern Ireland - /gig:2013-07-20-king-s-hall-belfast-northern-ireland
2013-07-18 Páirc Uí Chaoimh, Cork, Ireland - /gig:2013-07-18-pairc-ui-chaoimh-cork-ireland
2013-07-16 Thomond Park, Limerick, Ireland - /gig:2013-07-16-thomond-park-limerick-ireland
2013-07-13 Festivalpark, Werchter, Belgium - /gig:2013-07-13-festivalpark-werchter-belgium
2013-07-11 Ippodromo Delle Capannelle, Rome, Italy - /gig:2013-07-11-ippodromo-delle-capannelle-rome-italy
2013-07-07 Red Bull Arena, Leipzig, Germany - /gig:2013-07-07-red-bull-arena-leipzig-germany
2013-07-05 Borussia-Park, Mönchengladbach, Germany - /gig:2013-07-05-borussia-park-monchengladbach-germany
2013-07-03 Stade de Genève, Geneva, Switzerland - /gig:2013-07-03-stade-de-geneve-geneva-switzerland
2013-06-30 Queen Elizabeth Olympic Park, London, England - /gig:2013-06-30-queen-elizabeth-olympic-park-london-england
2013-06-29 Stade De France, Saint Denis, France - /gig:2013-06-29-stade-de-france-saint-denis-france
2013-06-26 Estadio Municipal El Molinón, Gijón, Spain - /gig:2013-06-26-estadio-municipal-el-molinon-gijon-spain
2013-06-22 Goffertpark, Nijmegen, The Netherlands - /gig:2013-06-22-goffertpark-nijmegen-netherlands
