artwork_id,artwork_url,artwork_name,date
359,19751211_2.htm,party lights at Seton Hall (Version 2),1975-12-11
360,19751211_3.htm,the night's bustin'open in South Orange (Version 3),1975-12-11
361,19751211_4.htm,Party Light At Seton Hall (Version 4),1975-12-11
362,19751212.htm,Making of a Rock Star,1975-12-12
363,19751212_2.htm,Greenvale (Version 2),1975-12-12
364,19751212_3.htm,Greenvale (Soundcheck) (Version 3),1975-12-12
365,19751216.htm,Pretty Oswego,1975-12-16
366,19751217.htm,Buffalo '75,1975-12-17
367,19751221.htm,Bring out the Hype,1975-12-21
368,19751221_2.htm,Bring out the hype (Version 2),1975-12-21
369,19751227.htm,Philadelphia - 1975,1975-12-27
370,19751227_2.htm,"Tower Theater, Upper Darby (Version 2)",1975-12-27
371,19751227_3.htm,Back In Philadelphia (Version 3),1975-12-27
372,19751228.htm,Sha la la,1975-12-28
373,19751228_2.htm,Sha La La ... (Version 2),1975-12-28
374,19751228_3.htm,Live at the Tower theater (Version 3),1975-12-28
375,19751230.htm,Teardrops on the Tower (30. + 31.12.1975),1975-12-30
376,19751230_2.htm,Prodigal son goes to the Tower (Version 2),1975-12-30
377,19751230_3.htm,With Love From Asbury Park (Version 3),1975-12-30
378,19751230_4.htm,Troubadour's tower (Version 4),1975-12-30
379,19751231.htm,New Year's Eve,1975-12-31
380,19751231_2.htm,The Uber Series 33 Philadelphia Mix Downs (Version 2),1975-12-31
381,19751231_3.htm,Born to rock (Version 3),1975-12-31
382,19751231_4.htm,Amazing Philadelphia Night (Version 4),1975-12-31
383,19751231_5.htm,last tango in Philly (Version 5),1975-12-31
384,19751231_6.htm,New Year's Eve (Version 6),1975-12-31
385,19751231_7.htm,New year's eve. of '75 (Version 7),1975-12-31
386,19760328.htm,"1976-03-28 - Cameron Indoor Stadium (Duke University) - Durham, NC",1976-03-28
387,19760328_2.htm,Performing Born To Run (Version 2),1976-03-28
388,19760404.htm,Hidden Worlds that shine,1976-04-04
389,19760404_2.htm,Rise Like The Rain (Version 2),1976-04-04
390,19760404_3.htm,hidden words that shine (Version 3),1976-04-04
391,19760404_4.htm,Rise like the rain(JAM recording) (Version 4),1976-04-04
392,19760407.htm,Runners in the Night,1976-04-07
393,19760407_2.htm,Prove It All Night (Version 2),1976-04-07
394,19760407_3.htm,Live At The Allen Theater (Version 3),1976-04-07
395,19760407_4.htm,Runners in the night (Version 4),1976-04-07
396,19760407_5.htm,Allen Theatre Upgrade (JEMS) (Version 5),1976-04-07
397,19760408.htm,Leaving the Allen in Rubble,1976-04-08
398,19760409.htm,Live At Colgate University,1976-04-09
399,19760409_2.htm,Colgate show (Version 2),1976-04-09
400,19760410.htm,"Choate School Wallingford, CT",1976-04-10
401,19760410_2.htm,Paul Mellon Arts Centre (Version 2),1976-04-10
402,19760410_3.htm,Wallingford (Version 3),1976-04-10
403,19760413.htm,Penn State University,1976-04-13
404,19760422_2.htm,"Blacksburg, VA (Version 2)",1976-04-22
405,19760429.htm,Knock On Wood,1976-04-29
406,19760510.htm,Prove It All Night (Flashback Worldproductions),1976-05-10
407,19760513.htm,Mississippi Boss,1976-05-13
408,19760513_2.htm,New Orleans '76 (Version 2),1976-05-13
409,19760513_3.htm,New Orleans 5.13.76 (Version 3),1976-05-13
410,19760527.htm,Westpoint - 1976,1976-05-27
411,19760527_2.htm,military night (Version 2),1976-05-27
